"longName","shortName","accountName","viewID","accountId","webPropertyId","internalWebPropertyId","viewName","timezone","websiteUrl","siteSearchQueryParameters","stripSiteSearchQueryParameters","created","updated","botFilteringEnabled","include","login"
"Publications Warehouse","Pubs","pubs.er.usgs.gov","20354817","10113280","UA-10113280-1","22153976","pubs.er.usgs.gov","America/Chicago","http://pubs.er.usgs.gov","q,advanced","TRUE","8/6/2009 14:30:40","1/13/2015 18:15:41","TRUE","YES","cida"
"Water Quality Portal","WQP","WQP","53642301","27507375","UA-27507375-1","52832367","WQP","America/Chicago","http://www.waterqualitydata.us",,,"12/6/2011 3:20:07","7/24/2015 16:13:53","TRUE","YES","cida"
"National Ground Water Monitoring Network Data Portal","NGWMN","NGWMN Data Portal","56773153","29564531","UA-29564531-2","55739376","NGWMN Data Portal","America/Chicago","http://cida.usgs.gov/ngwmn",,,"2/28/2012 16:51:41","1/5/2016 15:37:23",,"YES","cida"
"Geo Data Portal","GDP","Geo Data Portal","63434149","34380265","UA-34380265-1","61904170","Geo Data Portal","America/Chicago","http://cida.usgs.gov/gdp/",,,"8/27/2012 19:18:12","8/27/2012 19:18:13",,"YES","cida"
"NAWQA SPARROW Decision Support System","SPARROWDSS","Sparrow DSS","64208920","34936068","UA-34936068-1","62621963","Sparrow DSS","America/Chicago","http://cida.usgs.gov/sparrow",,,"9/19/2012 20:14:35","1/16/2013 19:14:53",,"YES","cida"
"Great Lakes Restoration Initiative Phragmites","GLRIPhragmites","USGS GLRI Phragmites","98561198","42203160","UA-42203160-1","71881585","GLRI Phragmites - No Internal Traffic","America/Chicago","http://cida.usgs.gov/glri/phragmites/",,,"2/27/2015 17:43:25","2/27/2015 17:43:56",,"YES","cida"
"Coastal Change Hazards Portal","CCH","CIDA CCH","79994645","46378632","UA-46378632-1","77384024","All Web Site Data","America/Chicago","http://cida.usgs.gov/coastalchangehazardsportal/",,,"12/11/2013 19:43:12","12/20/2013 16:10:03",,"YES","cida"
"Biodata","BiodataIn","BioData","91413881","47407832","UA-47407832-1","78657237","BioData Input with Most CIDA Traffic Filtered Out","America/Chicago","https://internal.aquatic.biodata.usgs.gov",,,"9/19/2014 19:58:09","7/10/2015 18:22:45","FALSE","YES","cida"
"Biodata Retrieval","BiodataRet","BioData","84991236","47407832","UA-47407832-2","78668543","BioData Retrieval","America/Chicago","https://aquatic.biodata.usgs.gov",,,"4/18/2014 15:40:45","5/13/2014 12:37:55",,"YES","cida"
"NWIS Reporting Application","NWIS-RA","NWIS-RA","85268102","50379402","UA-50379402-1","82341003","All Web Site Data","America/Chicago","https://nwisdata.usgs.gov",,,"4/24/2014 20:34:46","12/16/2016 16:03:30","FALSE","YES","cida"
"CIDA Website","CIDA","CIDA_Website","85293745","50382493","UA-50382493-1","82375136","All Web Site Data","America/Chicago","http://cida.usgs.gov/",,,"4/25/2014 17:11:59","4/25/2014 17:11:59",,"YES","cida"
