STUDY	DATASETNAME	BESTAVAILABLE	USSTATEALPHACODE	STATECODE	COUNTYCODE	STATECOUNTYCODE	COUNTYNAME	YEAR	TP-TotPop	PS-GWPop	PS-SWPop	PS-TOPop	PS-WGWFr	PS-WGWSa	PS-WGWTo	PS-WSWFr	PS-WSWSa	PS-WSWTo	PS-WFrTo	PS-WSaTo	PS-WTotl	PS-DelDO	PS-DelCO	PS-DelIN	PS-DelPT	PS-DelTO	PS-UsLos	PS-PrCap	PS-RecWW	PS-Facil	CO-WGWFr	CO-WGWSa	CO-WGWTo	CO-WSWFr	CO-WSWSa	CO-WSWTo	CO-WFrTo	CO-WSaTo	CO-WTotl	CO-PSDel	CO-WDelv	CO-CUsFr	CO-CUsSa	CO-CUTot	CO-RecWW	DO-SSPop	DO-WGWFr	DO-WGWSa	DO-WGWTo	DO-WSWFr	DO-WSWSa	DO-WSWTo	DO-WFrTo	DO-WSaTo	DO-WTotl	DO-SSPCp	DO-PSPop	DO-PSDel	DO-PSPCp	DO-WDelv	DO-CUsFr	DO-CUsSa	DO-CUTot	IN-WGWFr	IN-WGWSa	IN-WGWTo	IN-WSWFr	IN-WSWSa	IN-WSWTo	IN-WFrTo	IN-WSaTo	IN-WTotl	IN-PSDel	IN-WDelv	IN-CUsFr	IN-CUsSa	IN-CUTot	IN-RecWW	IN-Facil	PF-WGWFr	PF-WGWSa	PF-WGWTo	PF-WSWFr	PF-WSWSa	PF-WSWTo	PF-WFrTo	PF-WSaTo	PF-WTotl	PF-PSDel	PF-WDelv	PF-CUsFr	PF-CUsSa	PF-CUTot	PF-Power	PF-RecWW	PF-Facil	PG-WGWFr	PG-WGWSa	PG-WGWTo	PG-WSWFr	PG-WSWSa	PG-WSWTo	PG-WFrTo	PG-WSaTo	PG-WTotl	PG-PSDel	PG-WDelv	PG-CUsFr	PG-CUsSa	PG-CUTot	PG-Power	PG-RecWW	PG-Facil	PN-WGWFr	PN-WGWSa	PN-WGWTo	PN-WSWFr	PN-WSWSa	PN-WSWTo	PN-WFrTo	PN-WSaTo	PN-WTotl	PN-PSDel	PN-WDelv	PN-CUsFr	PN-CUsSa	PN-CUTot	PN-Power	PN-RecWW	PN-Facil	PO-WGWFr	PO-WGWSa	PO-WGWTo	PO-WSWFr	PO-WSWSa	PO-WSWTo	PO-WFrTo	PO-WSaTo	PO-WTotl	PO-PSDel	PO-WDelv	PO-CUsFr	PO-CUsSa	PO-CUTot	PO-Power	PO-RecWW	PO-Facil	PC-WGWFr	PC-WGWSa	PC-WGWTo	PC-WSWFr	PC-WSWSa	PC-WSWTo	PC-WFrTo	PC-WSaTo	PC-WTotl	PC-PSDel	PC-WDelv	PC-CUsFr	PC-CUsSa	PC-CUTot	PC-Power	PC-RecWW	PC-Facil	PT-WGWFr	PT-WGWSa	PT-WGWTo	PT-WSWFr	PT-WSWSa	PT-WSWTo	PT-WFrTo	PT-WSaTo	PT-WTotl	PT-PSDel	PT-WDelv	PT-CUsFr	PT-CUsSa	PT-CUTot	PT-Power	PT-RecWW	PT-Facil	MI-WGWFr	MI-WGWSa	MI-WGWTo	MI-WSWFr	MI-WSWSa	MI-WSWTo	MI-WFrTo	MI-WSaTo	MI-WTotl	MI-CUsFr	MI-CUsSa	MI-CUTot	MI-RecWW	LS-WGWFr	LS-WGWSa	LS-WGWTo	LS-WSWFr	LS-WSWSa	LS-WSWTo	LS-WFrTo	LS-WSaTo	LS-WTotl	LS-CUsFr	LS-CUsSa	LS-CUTot	LI-WGWFr	LI-WSWFr	LI-WFrTo	LI-CUsFr	LA-WGWFr	LA-WGWSa	LA-WGWTo	LA-WSWFr	LA-WSWSa	LA-WSWTo	LA-WFrTo	LA-WSaTo	LA-WTotl	LA-CUsFr	LA-CUsSa	LA-CUTot	AQ-WGWFr	AQ-WGWSa	AQ-WGWTo	AQ-WSWFr	AQ-WSWSa	AQ-WSWTo	AQ-WFrTo	AQ-WSaTo	AQ-WTotl	AQ-CUsFr	AQ-CUsSa	AQ-CUTot	IC-WGWFr	IC-WSWFr	IC-WFrTo	IC-CUsFr	IC-CLoss	IC-IrSpr	IC-IrMic	IC-IrSur	IC-IrTot	IC-RecWW	IG-WGWFr	IG-WSWFr	IG-WFrTo	IG-CUsFr	IG-CLoss	IG-IrSpr	IG-IrMic	IG-IrSur	IG-IrTot	IG-RecWW	IT-WGWFr	IT-WGWSa	IT-WGWTo	IT-WSWFr	IT-WSWSa	IT-WSWTo	IT-WFrTo	IT-WSaTo	IT-WTotl	IT-CUsFr	IT-CUsSa	IT-CUTot	IT-CLoss	IT-IrSpr	IT-IrMic	IT-IrSur	IT-IrTot	IT-RecWW	HY-InUse	HY-OffFr	HY-OffSa	HY-OffTo	HY-InPow	HY-OfPow	HY-ToPow	HY-InFac	HY-OfFac	HY-ToFac	WW-PuRet	WW-PuFac	WW-RecWW
4117547740	--	--	DE	10	1	10001	Kent County	1985	102.8	64.11	0	64.11	8.51	--	--	0	--	--	8.51	--	--	4.52	1.87	1.49	0.63	8.51	--	--	--	--	1.52	--	--	0	--	--	1.52	--	--	1.87	--	0.34	--	--	--	38.69	3.87	--	--	0	--	--	3.87	--	--	100	64.11	4.52	71	8.39	0.84	--	--	2	0	2	0	0	0	2	0	2	1.49	3.49	0.35	0	0.35	0	--	0	--	--	0	0	0	0	--	--	0.63	--	0.63	0	0.63	305	--	--	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	--	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	0.63	--	0.63	0	0.63	305	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	0.3	--	--	0	--	--	0.3	--	--	0.3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	6.86	--	--	2.94	--	--	9.8	--	--	9.8	--	--	0	22.42	--	0	--	0	0	--	--	--	0	--	--	--	--	--	10.96	3	--
4117547740	--	--	DE	10	3	10003	New Castle County	1985	412.6	155	240	395	14.72	--	--	48.57	--	--	63.29	--	--	26.71	9.67	15.48	0	51.86	--	--	--	--	0.25	--	--	0	--	--	0.25	--	--	9.67	--	0.98	--	--	--	17.6	1.32	--	--	0	--	--	1.32	--	--	75	395	26.71	68	28.03	2.8	--	--	6.71	0	6.71	3.07	343.44	346.51	9.78	343.44	353.22	15.48	368.7	2.53	3.43	5.96	0	--	0.5	--	--	0	521.36	521.36	0.5	--	--	0	--	0	0	0	3679	--	--	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	--	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5	--	--	--	--	--	--	--	--	0	--	0	0	0	3679	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	0.09	--	--	0	--	--	0.09	--	--	0.09	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.51	--	--	0.22	--	--	0.73	--	--	0.73	--	--	0	1.68	--	0	--	0	0	--	--	--	0	--	--	--	--	--	70.3	4	--
4117547740	--	--	DE	10	5	10005	Sussex County	1985	106.6	54.7	0	54.7	5.69	--	--	0	--	--	5.69	--	--	4.49	0.6	0.6	0	5.69	--	--	--	--	0.25	--	--	0	--	--	0.25	--	--	0.6	--	0.07	--	--	--	51.9	5.19	--	--	0	--	--	5.19	--	--	100	54.7	4.49	82	9.68	0.97	--	--	7.13	0	7.13	0	48	48	7.13	48	55.13	0.6	55.73	0.71	0.48	1.19	0	--	0.44	--	--	0	602.9	602.9	0.44	--	--	0	--	0.04	0	0.04	4473	--	--	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	--	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.44	--	--	--	--	--	--	--	--	0	--	0.04	0	0.04	4473	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	1.52	--	--	0	--	--	1.52	--	--	1.52	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	11.22	--	--	4.81	--	--	16.03	--	--	16.03	--	--	0	36.67	--	0	--	0	0	--	--	--	0	--	--	--	--	--	5.21	9	--
2204900783	--	--	DE	10	1	10001	Kent County	1990	110.99	68.06	0	68.06	7.23	--	--	0	--	--	7.23	--	--	2.73	1.78	1.06	0.85	6.42	--	--	--	75	1.36	--	--	0	--	--	1.36	--	--	1.78	--	0.31	--	--	--	42.93	3.43	--	--	0	--	--	3.43	--	--	80	68.06	2.73	40	6.16	0.63	--	--	2.38	0	2.38	0	0	0	2.38	0	2.38	1.06	3.44	0.52	0	0.52	0	8	0	--	--	0	0	0	0	--	--	0.85	--	0.7	0	0.7	320.25	--	1	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	0	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	0.85	--	0.7	0	0.7	320.25	--	1	0	0	0	0	0	0	0	0	0	0	0	0	--	0.44	--	--	0.07	--	--	0.51	--	--	0.51	--	--	--	--	--	--	0	--	--	0	--	--	0	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	6.99	--	--	2.86	--	--	9.85	--	--	9.85	--	--	0	19.05	--	0	--	0	0	--	--	--	0	--	--	0	--	--	12.75	2	0
2204900783	--	--	DE	10	3	10003	New Castle County	1990	441.95	174.44	231.21	405.65	17.35	--	--	51.65	--	--	69	--	--	35.19	13.11	12.42	0	60.72	--	--	--	26	0.4	--	--	0	--	--	0.4	--	--	13.11	--	1.35	--	--	--	36.3	2.8	--	--	0	--	--	2.8	--	--	77	405.65	35.19	87	37.99	3.8	--	--	6.31	0	6.31	11.04	6.02	17.06	17.35	6.02	23.37	12.42	35.79	4.47	0.01	4.48	0	18	0	--	--	830.14	0	830.14	830.14	--	--	0	--	3.86	0	3.86	2586.75	--	1	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	0	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	--	--	--	--	--	--	--	--	0	--	3.86	0	3.86	2586.75	--	1	0	0	0	0	0	0	0	0	0	0	0	0	--	0.1	--	--	0.01	--	--	0.11	--	--	0.11	--	--	--	--	--	--	0	--	--	0	--	--	0	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.55	--	--	0.41	--	--	0.96	--	--	0.96	--	--	0	2.54	--	0	--	0	0	--	--	--	0	--	--	0	--	--	86.54	4	0
2204900783	--	--	DE	10	5	10005	Sussex County	1990	113.23	54.43	0	54.43	8.52	--	--	0	--	--	8.52	--	--	3.03	3.03	1.52	0	7.58	--	--	--	133	0.09	--	--	0	--	--	0.09	--	--	3.03	--	0.31	--	--	--	58.8	4.7	--	--	0	--	--	4.7	--	--	80	54.43	3.03	56	7.73	0.77	--	--	9.04	0.01	9.05	36.2	0	36.2	45.24	0.01	45.25	1.52	46.77	7.01	0	7.01	0	12	0.48	--	--	0	333.11	333.11	0.48	--	--	0	--	0.48	1.55	2.03	3733.88	--	1	0	0	0	--	--	--	--	--	--	0	--	0	0	0	0	--	0	0	--	--	0	0	0	0	--	--	0	--	0	0	0	0	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	--	--	--	--	--	--	--	--	0	--	0.48	1.55	2.03	3733.88	--	1	0	0	0	0	0	0	0	0	0	0	0	0	--	1.52	--	--	0.23	--	--	1.75	--	--	1.75	--	--	--	--	--	--	0	--	--	0	--	--	0	--	--	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	15.36	--	--	6.27	--	--	21.63	--	--	21.63	--	--	0	41.91	--	0	--	0	0	--	--	--	0	--	--	0	--	--	5.25	9	0
3634751077	--	--	DE	10	1	10001	Kent County	1995	121.72	69.87	0	69.87	8.97	0	8.97	0	0	0	8.97	0	8.97	3.7	2.4	1.43	0.45	7.98	0.99	128	0	73	1.39	0	1.39	0	0	0	1.39	0	1.39	2.4	3.79	0.38	0	0.38	0	51.85	4.15	0	4.15	0	0	0	4.15	0	4.15	80	69.87	3.7	53	7.85	0.79	0	0.79	1.9	0	1.9	0	0	0	1.9	0	1.9	1.43	3.33	0.5	0	0.5	0	8	0	0	0	0	0	0	0	0	0	0.45	0.45	0.13	0	0.13	170	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	0	0	0	0	0	0	0	0	0.45	0.45	0.13	0	0.13	170	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0.49	0.16	0	0.16	0.65	0	0.65	0.58	0	0.58	--	--	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	11.8	0	11.8	5.05	0	5.05	16.85	0	16.85	16.85	0	16.85	0	22.74	0	0	22.74	0	0	0	0	0	0	0	0	0	0	0	10.47	2	0
3634751077	--	--	DE	10	3	10003	New Castle County	1995	467.89	187.16	243.3	430.46	19.59	0	19.59	49.26	0	49.26	68.85	0	68.85	35.12	13.08	12.39	0	60.59	8.26	160	0	31	0.5	0	0.5	0	0	0	0.5	0	0.5	13.08	13.58	1.36	0	1.36	0	37.43	3	0	3	0	0	0	3	0	3	80	430.46	35.12	82	38.12	3.81	0	3.81	6.82	0	6.82	8.95	3.2	12.15	15.77	3.2	18.97	12.39	31.36	4.23	0.01	4.24	0	17	0	0	0	534.21	452	986.21	534.21	452	986.21	0	986.21	0	0	0	2812.41	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	0	0	534.21	452	986.21	534.21	452	986.21	0	986.21	0	0	0	2812.41	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.08	0.04	0	0.04	0.12	0	0.12	0.11	0	0.11	--	--	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.37	0	1.37	0.92	0	0.92	2.29	0	2.29	2.29	0	2.29	0	3.83	0	0	3.83	0	0	0	0	0	0	0	0	0	0	0	86.71	4	0
3634751077	--	--	DE	10	5	10005	Sussex County	1995	127.58	63.54	0	63.54	11.63	0	11.63	0	0	0	11.63	0	11.63	4.06	4.04	2.02	0	10.12	1.51	183	0	199	0.9	0	0.9	0	0	0	0.9	0	0.9	4.04	4.94	0.49	0	0.49	0	64.04	5.12	0	5.12	0	0	0	5.12	0	5.12	80	63.54	4.06	64	9.18	0.91	0	0.91	8.77	0	8.77	34.19	0.01	34.2	42.96	0.01	42.97	2.02	44.99	6.74	0	6.74	0	11	0.23	0	0.23	0	288.19	288.19	0.23	288.19	288.42	0	288.42	0.02	2.91	2.93	3079.75	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.23	0	0.23	0	288.19	288.19	0.23	288.19	288.42	0	288.42	0.02	2.91	2.93	3079.75	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21	0	3.21	0.15	0	0.15	3.36	0	3.36	3.02	0	3.02	--	--	--	--	0	0	0	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	20.47	0	20.47	8.77	0	8.77	29.24	0	29.24	29.24	0	29.24	0	39.46	0	0	39.46	0	0	0	0	0	0	0	0	0	0	0	5.8	9	0
1255105252	--	--	DE	10	1	10001	Kent County	2000	126.7	70.02	0	70.02	10.45	--	--	0	--	--	10.45	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	56.68	4.53	--	--	0	--	--	4.53	--	--	80	70.02	--	--	--	--	--	--	1.53	0	1.53	0	0	0	1.53	0	1.53	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	0	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--	--	0.17	0	0.17	0.16	0.01	0.17	0.33	0.01	0.34	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.07	0	0.07	0	0	0	0.07	0	0.07	--	--	--	10.06	1.92	11.98	--	--	23.12	0	0	23.12	--	0.11	0.16	0.27	--	--	0.25	0	0	0.25	--	10.17	--	10.17	2.08	--	2.08	12.25	--	12.25	--	--	--	--	23.37	0	0	23.37	--	--	--	--	--	--	--	--	--	--	--	--	--	--
